unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
MDPAap;1,Minor,Sedimentary,Clastic,Mudstone,Claystone,,Claystone ,,
MDPAap;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
MDPAap;1,Incidental,Sedimentary,Coal,,,,Coal ,,
MDPAc;1,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone ,,
MDPAc;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
MDPAc;1,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
MDPAc;1,Incidental,Sedimentary,Coal,,,,Coal ,,
MDPAc;1,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
MDPAm;1,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone ,,
MDPAm;1,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
MDPAm;1,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
MDPAm;1,Incidental,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
MDPAm;1,Incidental,Sedimentary,Coal,,,,Coal ,,
MDpbs;4,Major,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,, 
MDpbs;4,Incidental,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
MDpCAbg;4,Major,Metamorphic,Gneiss,,,,Gneiss,,includes granitic gneiss and paragneiss 
MDpCAbg;4,Incidental,Metamorphic,Amphibolite,,,,Amphibolite,, 
MDpCAbg;4,Incidental,Metamorphic,Metasedimentary,Paragneiss,,,Paragneiss,,Layered paragneiss in Baltimore City southeast of Relay Quartz Diorite. 
MDpCAc;2,Major,Metamorphic,Metaigneous,Metavolcanic,Metabasalt,,Metabasalt,,"Thick-bedded metabasalt with amygdaloidal layers and secondary veins of quartz, calcite, and epidote "
MDpCAc;2,Minor,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,,green tuffaceous phyllite 
MDpCAc;2,Minor,Metamorphic,Metaigneous,Metavolcanic,Metaandesite,,Metaandesite,,blue amygdaloidal metaandesite 
MDpCAg;2,Major,Metamorphic,Gneiss,,,,Gneiss,,granitic gneiss 
MDpCAg;2,Incidental,Metamorphic,Metaigneous,Metaintrusive,Metadiabase,,Metadiabase,, 
MDpCAmv;2,Major,Metamorphic,Metaigneous,Metavolcanic,Metarhyolite,,Metarhyolite,,"Dense, blue, cryptocrystalline, with white feldspar phenocrysts and glassy quartz; red porphyritic metarhyolite at contact with Catoctin Metabasalt "
MDpCAmv;2,Minor,Metamorphic,Schist,,,,Schist,,white tuffaceous sericitic schist 
MDpCAmv;2,Minor,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,,banded green slate 
