,unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
1639,VAYep;0,Minor,Igneous,Plutonic,Syenitic,Quartz-monzonite,,Quartz-monzonite,, 
1640,VAYfh;0,Major,Metamorphic,Gneiss,Biotite-gneiss,,,Biotite-gneiss,, 
1641,VAYg;0,Major,Igneous,Plutonic,Granitic,Leucocratic-granitic,,Leucocratic-granitic,, 
1642,VAYgb;0,Major,Metamorphic,Granulite,,,,Granulite,, 
1643,VAYgb;0,Major,Metamorphic,Gneiss,,,,Gneiss,, 
1644,VAYgbt;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
1645,VAYgg;0,Major,Metamorphic,Gneiss,,,,Gneiss,,granitic gneiss 
1646,VAYgh;0,Major,Metamorphic,Gneiss,Hornblende-gneiss,,,Hornblende-gneiss,,hornblende gneiss 
1647,VAYgn;0,Major,Metamorphic,Granulite,,,,Granulite,, 
1648,VAYgn;0,Major,Metamorphic,Gneiss,,,,Gneiss,, 
1649,VAYgr;0,Major,Metamorphic,Gneiss,,,,Gneiss,,biotite granite gneiss 
1650,VAYgt;0,Major,Metamorphic,Metaigneous,Metaintrusive,Metagranite,,Metagranite,, 
1651,VAYhd;0,Major,Igneous,Plutonic,Granitic,Granodiorite,,Granodiorite,, 
1652,VAYhg;0,Major,Igneous,Plutonic,Charnockite,,,Charnockite,, 
1653,VAYl;0,Major,Igneous,Plutonic,Charnockite,,,Charnockite,,leucocharnockite 
1654,VAYma;0,Major,Metamorphic,Gneiss,Biotite-gneiss,,,Biotite-gneiss,,felsic gneiss and flaser gneiss 
1655,VAYmc;0,Major,Metamorphic,Metaigneous,Metaintrusive,Metagranite,,Metagranite,, 
1656,VAYmd;0,Major,Metamorphic,Gneiss,Biotite-gneiss,,,Biotite-gneiss,,biotite gneiss 
1657,VAYmg;0,Major,Metamorphic,Gneiss,,,,Gneiss,,orthogneiss 
1658,VAYmm;0,Major,Metamorphic,Metaigneous,Metaintrusive,Metagranite,,Metagranite,, 
1659,VAYms;0,Major,Metamorphic,Schist,Mica-schist,Muscovite-schist,,Muscovite-schist,, 
1660,VAYms;0,Major,Metamorphic,Gneiss,Biotite-gneiss,,,Biotite-gneiss,, 
1661,VAYn;0,Major,Metamorphic,Metaigneous,Metaintrusive,Metadiorite,,Metadiorite,,inlcudes metanorite and metadiorite 
1662,VAYor;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
1663,VAYp;0,Major,Metamorphic,Metasedimentary,Paragneiss,,,Paragneiss,,paragneiss 
1664,VAYPAgr;0,Major,Metamorphic,Gneiss,,,,Gneiss,,granite gneiss 
1665,VAYPApm;0,Major,Metamorphic,Gneiss,,,,Gneiss,,felsic gneiss 
1666,VAYpc;0,Major,Igneous,Plutonic,Charnockite,,,Charnockite,,leucocharnockite 
